prom_peak,gene,MoreOpenIn
12:123519244-123519953,PITPNM2,alpha 2
12:123593956-123594501,PITPNM2,alpha 1
12:123634877-123636220,PITPNM2,alpha 2
12:123648643-123649244,MPHOSPH9,alpha 2
12:123717084-123718326,C12orf65,alpha 2
12:123717084-123718326,MPHOSPH9,alpha 2
12:123753872-123754452,CDK2AP1,alpha 2
12:123755611-123756765,CDK2AP1,alpha 2
12:123848917-123850535,SBNO1,alpha 2
12:123872965-123874789,SETD8,alpha 2
12:124017663-124019142,RILPL1,alpha 2
12:124068438-124069740,TMED2,alpha 2
12:124085927-124087255,DDX55,alpha 2
12:124155403-124156224,TCTN2,alpha 2
12:124456956-124458020,CCDC92,alpha 2
12:124456956-124458020,ZNF664,alpha 2
12:124456956-124458020,FAM101A,alpha 2
12:125050859-125052822,NCOR2,alpha 2
12:12509710-12510737,LOH12CR2,alpha 2
12:12509710-12510737,LOH12CR1,alpha 2
12:125477988-125478982,BRI3BP,alpha 2
12:12837265-12837754,GPR19,alpha 1
12:12877843-12879033,APOLD1,alpha 2
12:129307803-129308956,SLC15A4,alpha 2
12:13043463-13044682,GPRC5A,alpha 2
12:130646804-130647493,FZD10,alpha 2
12:131322854-131324326,STX2,alpha 2
12:131356115-131357203,RAN,alpha 2
12:13196902-13197899,KIAA1467,alpha 1
12:132312701-132313122,MMP17,alpha 2
12:132434043-132434957,EP400,alpha 2
12:132568443-132569114,EP400NL,alpha 2
12:132628336-132629439,DDX51,alpha 2
12:132628336-132629439,NOC4L,alpha 2
12:133066209-133066890,FBRSL1,alpha 2
12:133286762-133287588,PGAM5,alpha 2
12:133337741-133339131,ANKLE2,alpha 2
12:133613534-133614603,ZNF84,alpha 2
12:133706361-133707601,ZNF891,alpha 2
12:133706361-133707601,ZNF10,alpha 2
12:133706361-133707601,ZNF268,alpha 2
12:133706361-133707601,CTD-2140B24.4,alpha 2
12:15475277-15476290,PTPRO,alpha 1
12:1702943-1704419,FBXL14,alpha 2
12:187026-187573,IQSEC3,alpha 2
12:20520851-20523307,PDE3A,alpha 1
12:2075742-2076586,DCP1B,alpha 2
12:2161669-2162572,CACNA1C,alpha 2
12:2162784-2163780,CACNA1C,alpha 2
12:2943702-2944700,NRIP2,alpha 1
12:29935835-29937486,TMTC1,alpha 1
12:31078961-31080008,TSPAN11,alpha 1
12:31226346-31227737,DDX11,alpha 2
12:31742682-31744891,DENND5B,alpha 2
12:31799878-31800471,METTL20,alpha 1
12:32552059-32553404,FGD4,alpha 2
12:32654725-32655360,FGD4,alpha 1
12:32686612-32687590,FGD4,alpha 2
12:32751589-32752048,FGD4,alpha 2
12:33591484-33593055,SYT10,alpha 1
12:3600182-3602035,PRMT8,alpha 1
12:39761725-39762401,KIF21A,alpha 2
12:3981970-3982839,PARP11,alpha 1
12:41136401-41137009,CNTN1,alpha 2
12:41582047-41583929,PDZRN4,alpha 1
12:42631188-42632687,YAF2,alpha 2
12:42631188-42632687,PPHLN1,alpha 2
12:42982773-42984208,PRICKLE1,alpha 1
12:44199288-44200517,TWF1,alpha 2
12:47224392-47226443,SLC38A4,alpha 1
12:48099276-48100048,RPAP3,alpha 2
12:48166761-48167693,SLC48A1,alpha 2
12:48212920-48214724,HDAC7,alpha 2
12:48276160-48277101,VDR,alpha 1
12:4872628-4873388,GALNT8,alpha 1
12:49254942-49255153,RND1,alpha 2
12:49259139-49260095,RND1,alpha 2
12:49391895-49393334,DDN,alpha 2
12:49463317-49464045,RHEBL1,alpha 2
12:49504040-49504958,LMBR1L,alpha 2
12:49523959-49525554,TUBA1B,alpha 2
12:49658115-49659597,TUBA1C,alpha 2
12:49760258-49761706,SPATS2,alpha 2
12:50016497-50017634,PRPF40B,alpha 2
12:50101010-50101652,FMNL3,alpha 2
12:50101010-50101652,TMBIM6,alpha 2
12:50134914-50136101,TMBIM6,alpha 2
12:50221530-50222717,NCKAP5L,alpha 2
12:50450803-50451695,ASIC1,alpha 2
12:50478519-50479603,SMARCD1,alpha 2
12:50676627-50677811,LIMA1,alpha 2
12:50898511-50899604,DIP2B,alpha 2
12:51157129-51158778,ATF1,alpha 2
12:51450059-51450354,LETMD1,alpha 2
12:5152695-5153661,KCNA5,alpha 1
12:51631985-51633196,DAZAP2,alpha 2
12:51663237-51665062,SMAGP,alpha 2
12:51784848-51786691,GALNT6,alpha 1
12:51784848-51786691,SLC4A8,alpha 1
12:51984201-51985656,SCN8A,alpha 2
12:52344895-52345812,ACVR1B,alpha 2
12:52416926-52417778,NR4A1,alpha 2
12:52430619-52431039,NR4A1,alpha 2
12:52444413-52445709,NR4A1,alpha 2
12:52585613-52586572,KRT80,alpha 2
12:53399658-53400928,EIF4B,alpha 2
12:53614138-53615738,RARG,alpha 2
12:53625614-53626931,RARG,alpha 2
12:53661826-53662416,ESPL1,alpha 2
12:54332218-54332665,HOXC13,alpha 2
12:54982116-54982638,PPP1R1A,alpha 1
12:56320538-56321996,WIBG,alpha 2
12:56320538-56321996,DGKA,alpha 2
12:56360089-56360980,PMEL,alpha 2
12:56360089-56360980,CDK2,alpha 2
12:56400770-56402008,IKZF4,alpha 2
12:56472801-56474330,ERBB3,alpha 2
12:56511685-56512462,ZC3H10,alpha 2
12:56511685-56512462,ESYT1,alpha 2
12:56582876-56584485,SMARCC2,alpha 2
12:56615495-56616266,RNF41,alpha 2
12:56615495-56616266,NABP2,alpha 2
12:56660419-56661483,COQ10A,alpha 2
12:56861806-56863079,SPRYD4,alpha 2
12:568645-569958,B4GALNT3,alpha 2
12:57023954-57024666,BAZ2A,alpha 2
12:57029798-57031070,BAZ2A,alpha 2
12:57039614-57040272,ATP5B,alpha 1
12:57081078-57082711,PTGES3,alpha 2
12:57504061-57506448,STAT6,alpha 2
12:57609264-57610735,NXPH4,alpha 2
12:57623343-57624103,SHMT2,alpha 2
12:57633837-57634626,NDUFA4L2,alpha 2
12:57810156-57810764,AC126614.1,alpha 2
12:57913605-57914822,DDIT3,alpha 2
12:57913605-57914822,MBD6,alpha 2
12:57915833-57916938,MBD6,alpha 2
12:59313049-59314545,LRIG3,alpha 2
12:62996136-62997674,C12orf61,alpha 2
12:63327992-63329255,PPM1H,alpha 2
12:63544006-63546376,AVPR1A,alpha 1
12:64797730-64799011,XPOT,alpha 2
12:64845443-64846987,TBK1,alpha 2
12:65173995-65175714,TBC1D30,alpha 2
12:65514719-65515696,WIF1,alpha 1
12:65563007-65564529,LEMD3,alpha 2
12:6560263-6561855,TAPBPL,alpha 1
12:66217510-66219950,HMGA2,alpha 1
12:66275270-66276281,RP11-366L20.2,alpha 1
12:6642599-6644785,GAPDH,alpha 2
12:6715254-6717824,CHD4,alpha 2
12:69004148-69005582,RAP1B,alpha 2
12:69201185-69202927,MDM2,alpha 2
12:69326272-69327499,CPM,alpha 2
12:6936432-6937111,LEPREL2,alpha 2
12:69633082-69634292,CPSF6,alpha 2
12:6976294-6977515,TPI1,alpha 2
12:69978973-69979885,CCT2,alpha 2
12:7013582-7014496,LRRC23,alpha 1
12:7031108-7031425,ENO2,alpha 2
12:7055255-7055942,PTPN6,alpha 1
12:70636468-70638087,CNOT2,alpha 2
12:71313588-71314828,PTPRR,alpha 1
12:72332331-72333097,TPH2,alpha 1
12:72665221-72667438,TRHDE,alpha 1
12:76741780-76742757,BBS10,alpha 1
12:77272047-77273571,CSRP2,alpha 2
12:81330092-81331792,LIN7A,alpha 1
12:81330092-81331792,ACSS3,alpha 1
12:81991797-81992409,PPFIA2,alpha 1
12:82152142-82153551,PPFIA2,alpha 1
12:8379695-8380694,FAM90A1,alpha 1
12:861114-862665,WNK1,alpha 2
12:863088-863315,WNK1,alpha 2
12:86649918-86650369,MGAT4C,alpha 1
12:88972984-88974660,KITLG,alpha 1
12:90049531-90050343,ATP2B1,alpha 2
12:9066631-9067899,PHC1,alpha 1
12:92530957-92531426,C12orf79,alpha 2
12:93096447-93097365,C12orf74,alpha 1
12:93771171-93771841,NUDT4,alpha 2
12:93860901-93862006,MRPL42,alpha 2
12:93963446-93963665,SOCS2,alpha 2
12:93963877-93965983,SOCS2,alpha 2
12:94853307-94854343,CCDC41,alpha 2
12:95043089-95044574,TMCC3,alpha 2
12:95396985-95397899,NDUFA12,alpha 2
12:95610916-95612173,FGD6,alpha 2
12:95610916-95612173,VEZT,alpha 2
12:96252399-96253514,SNRPF,alpha 2
12:96428797-96430697,LTA4H,alpha 2
12:96792956-96794750,CDK17,alpha 2
12:98896635-98898377,RP11-181C3.1,alpha 2
12:98908930-98910485,TMPO,alpha 2
12:99547895-99548884,ANKS1B,alpha 1
12:99639660-99640356,ANKS1B,alpha 1
13:100523018-100524155,CLYBL,alpha 1
13:101185558-101186294,GGACT,alpha 1
13:102142666-102143178,ITGBL1,alpha 2
13:102567625-102571096,FGF14,alpha 1
13:103425282-103426698,TEX30,alpha 2
13:108866289-108868258,LIG4,alpha 2
13:110437648-110440223,IRS2,alpha 2
13:111766659-111768809,ARHGEF7,alpha 2
13:111805246-111806804,ARHGEF7,alpha 2
13:113547754-113548209,MCF2L,alpha 2
13:113622602-113624120,MCF2L,alpha 2
13:113759460-113760272,F7,alpha 1
13:113862443-113864710,PCID2,alpha 2
13:113862443-113864710,CUL4A,alpha 2
13:114017556-114019197,GRTP1,alpha 2
13:20734847-20735864,GJA3,alpha 2
13:21476169-21477442,XPO4,alpha 2
13:23949156-23950119,SACS,alpha 2
13:24462739-24464218,MIPEP,alpha 2
13:25592016-25593281,LSP1,alpha 1
13:26827861-26829243,CDK8,alpha 2
13:29292626-29293435,SLC46A3,alpha 1
13:30168404-30170304,SLC7A1,alpha 2
13:33590048-33592079,KL,alpha 2
13:35515757-35518062,NBEA,alpha 2
13:36704741-36705819,DCLK1,alpha 1
13:36919643-36921165,SPG20,alpha 2
13:36919643-36921165,SPG20OS,alpha 2
13:37392878-37394152,RFXAP,alpha 2
13:37633036-37634261,SUPT20H,alpha 1
13:38442835-38445368,TRPC4,alpha 1
13:38922992-38924533,UFM1,alpha 1
13:39260706-39262236,FREM2,alpha 1
13:39611622-39612994,PROSER1,alpha 1
13:39611622-39612994,NHLRC3,alpha 1
13:41238278-41241380,FOXO1,alpha 2
13:41837344-41838147,MTRF1,alpha 1
13:41885044-41886178,NAA16,alpha 2
13:43564476-43565359,EPSTI1,alpha 1
13:44734598-44735475,SMIM2,alpha 1
13:45563124-45564035,NUFIP1,alpha 2
13:45563124-45564035,GPALPP1,alpha 2
13:47370622-47371738,ESD,alpha 1
13:48877193-48878808,RB1,alpha 2
13:49793918-49795466,MLNR,alpha 2
13:50264891-50265919,EBPL,alpha 2
13:50570345-50571793,TRIM13,alpha 2
13:50589267-50590023,KCNRG,alpha 1
13:51914668-51914932,SERPINE3,alpha 2
13:52435821-52436304,CCDC70,alpha 2
13:52733031-52734146,NEK3,alpha 1
13:58205736-58206302,PCDH17,alpha 1
13:58206510-58209181,PCDH17,alpha 1
13:72438708-72441738,DACH1,alpha 1
13:76334329-76335132,LMO7,alpha 1
13:77600357-77601753,FBXL3,alpha 2
13:77900135-77901619,MYCBP2,alpha 2
13:78271360-78273205,SLAIN1,alpha 1
13:79232510-79233667,RNF219,alpha 2
13:84455669-84456948,SLITRK1,alpha 1
13:96741906-96744358,HS6ST3,alpha 2
13:98627930-98629305,IPO5,alpha 2
13:99738367-99740514,DOCK9,alpha 2
13:99852445-99854025,UBAC2,alpha 2
13:99960031-99960887,GPR183,alpha 2
14:100038660-100039584,CCDC85C,alpha 1
14:100259017-100260274,EML1,alpha 2
14:100706284-100707168,YY1,alpha 2
14:101359445-101360058,AL117190.3,alpha 1
14:102552794-102554119,HSP90AA1,alpha 2
14:102770840-102771912,MOK,alpha 2
14:102828343-102828682,CINP,alpha 2
14:102975482-102976538,ANKRD9,alpha 2
14:103243344-103244955,TRAF3,alpha 2
14:103394746-103395359,AMN,alpha 2
14:103523429-103524471,CDC42BPB,alpha 2
14:103799748-103801580,EIF5,alpha 2
14:103851267-103852804,MARK3,alpha 2
14:104027694-104027941,KLC1,alpha 2
14:104028327-104029746,KLC1,alpha 2
14:104028327-104029746,BAG5,alpha 2
14:104028327-104029746,RP11-73M18.2,alpha 2
14:104028327-104029746,APOPT1,alpha 2
14:104094473-104096439,KLC1,alpha 2
14:104213173-104213373,PPP1R13B,alpha 2
14:104313366-104314528,PPP1R13B,alpha 2
14:104394506-104395121,C14orf2,alpha 2
14:104394506-104395121,TDRD9,alpha 2
14:105266638-105267825,ZBTB42,alpha 2
14:105330537-105332628,CEP170B,alpha 2
14:105487124-105487914,CDCA4,alpha 2
14:105633847-105635674,JAG2,alpha 2
14:105647221-105647921,NUDT14,alpha 2
14:20922602-20924028,OSGEP,alpha 2
14:20922602-20924028,APEX1,alpha 2
14:20937140-20938456,PNP,alpha 2
14:21077393-21078716,RNASE11,alpha 2
14:21149427-21152779,RNASE4,alpha 2
14:21149427-21152779,ANG,alpha 2
14:21149427-21152779,AL163636.6,alpha 2
14:21457753-21458717,METTL17,alpha 1
14:21509821-21510389,RNASE7,alpha 2
14:21851370-21852858,SUPT16H,alpha 2
14:21993203-21994850,SALL2,alpha 1
14:23623429-23623977,SLC7A8,alpha 1
14:23624323-23624911,SLC7A8,alpha 1
14:23777553-23777787,BCL2L2,alpha 2
14:24017576-24017790,ZFHX2,alpha 2
14:24107623-24108600,DHRS2,alpha 1
14:24640725-24641493,REC8,alpha 1
14:24768148-24769419,DHRS1,alpha 2
14:24768148-24769419,NOP9,alpha 2
14:24808746-24809506,RIPK3,alpha 1
14:25517488-25518031,STXBP6,alpha 2
14:31090681-31091950,SCFD1,alpha 2
14:31494369-31496316,AP4S1,alpha 2
14:31494369-31496316,STRN3,alpha 2
14:31675973-31677659,HECTD1,alpha 2
14:31889041-31890232,HEATR5A,alpha 2
14:31926090-31926928,RP11-176H8.1,alpha 2
14:31926090-31926928,DTD2,alpha 2
14:32475382-32476379,RP11-187E13.2,alpha 1
14:32963777-32964800,AKAP6,alpha 1
14:34419475-34420546,EGLN3,alpha 2
14:35342535-35344784,BAZ1A,alpha 2
14:35450554-35450806,SRP54,alpha 2
14:36002484-36004922,INSM2,alpha 2
14:37130277-37131418,PAX9,alpha 2
14:38063461-38065635,FOXA1,alpha 2
14:38063461-38065635,TTC6,alpha 2
14:38724297-38725833,CLEC14A,alpha 1
14:39638752-39640020,TRAPPC6B,alpha 2
14:39735413-39736984,CTAGE5,alpha 2
14:39735413-39736984,RP11-407N17.3,alpha 2
14:50086868-50088092,RPL36AL,alpha 2
14:50086868-50088092,MGAT2,alpha 2
14:50100289-50102345,DNAAF2,alpha 2
14:50234173-50235835,KLHDC2,alpha 2
14:50262808-50263083,NEMF,alpha 2
14:50998637-50999898,MAP4K5,alpha 2
14:50998637-50999898,ATL1,alpha 2
14:51026643-51028050,ATL1,alpha 2
14:51026643-51028050,MAP4K5,alpha 2
14:51133995-51135671,SAV1,alpha 2
14:52455771-52456953,C14orf166,alpha 2
14:55368559-55370193,GCH1,alpha 2
14:55517746-55519167,MAPK1IP1L,alpha 2
14:55737758-55738989,FBXO34,alpha 2
14:56067635-56068306,KTN1,alpha 2
14:57734893-57736158,EXOC5,alpha 2
14:57734893-57736158,AP5M1,alpha 2
14:57856762-57858317,NAA30,alpha 2
14:58331691-58333211,SLC35F4,alpha 2
14:58666412-58667402,ACTR10,alpha 2
14:58711043-58712109,PSMA3,alpha 2
14:58893503-58894804,TIMM9,alpha 2
14:58893503-58894804,KIAA0586,alpha 2
14:59103769-59105562,DACT1,alpha 2
14:59654621-59656289,DAAM1,alpha 2
14:59729603-59730231,DAAM1,alpha 1
14:64193933-64195282,SGPP1,alpha 2
14:64804591-64806040,ESR2,alpha 1
14:64970052-64972150,ZBTB1,alpha 2
14:64970052-64972150,ZBTB25,alpha 2
14:65006674-65007766,HSPA2,alpha 2
14:68066402-68067370,PIGH,alpha 2
14:68286113-68286631,RAD51B,alpha 2
14:69350865-69351791,ACTN1,alpha 2
14:69445079-69446783,ACTN1,alpha 2
14:69726284-69727473,GALNT16,alpha 2
14:70038416-70039484,CCDC177,alpha 2
14:70077976-70079038,KIAA0247,alpha 2
14:70233552-70234961,SRSF5,alpha 2
14:70654176-70656192,SLC8A3,alpha 2
14:71107616-71109641,TTC9,alpha 2
14:71373698-71375627,PCNX,alpha 2
14:73524804-73526360,RBM25,alpha 2
14:73924716-73925669,NUMB,alpha 2
14:74035632-74036858,ACOT2,alpha 2
14:74111163-74112249,DNAL1,alpha 2
14:74180305-74181665,PNMA1,alpha 2
14:74225543-74227340,ELMSAN1,alpha 2
14:74318279-74319675,PTGR2,alpha 2
14:74353081-74354089,ZNF410,alpha 2
14:74416451-74417458,COQ6,alpha 2
14:74416451-74417458,FAM161B,alpha 2
14:74485337-74486327,ENTPD5,alpha 2
14:74485337-74486327,CCDC176,alpha 2
14:74550965-74551790,ALDH6A1,alpha 2
14:74550965-74551790,LIN52,alpha 2
14:74768786-74770133,ABCD4,alpha 2
14:74768786-74770133,VRTN,alpha 2
14:75229711-75230582,YLPM1,alpha 2
14:75348180-75349174,DLST,alpha 2
14:75422031-75422721,PGF,alpha 2
14:75517526-75518362,MLH3,alpha 2
14:75529869-75531026,ACYP1,alpha 2
14:75529869-75531026,ZC2HC1C,alpha 2
14:75535576-75536788,ZC2HC1C,alpha 2
14:75535576-75536788,ACYP1,alpha 2
14:75745005-75746444,FOS,alpha 2
14:75894083-75895528,JDP2,alpha 2
14:76044039-76045507,FLVCR2,alpha 2
14:76127080-76127962,C14orf1,alpha 2
14:76127080-76127962,TTLL5,alpha 2
14:76451956-76452442,IFT43,alpha 2
14:76617991-76619050,GPATCH2L,alpha 2
14:77292467-77292869,C14orf166B,alpha 2
14:77791266-77791815,GSTZ1,alpha 1
14:79745166-79746365,NRXN3,alpha 2
14:81407627-81408426,CEP128,alpha 1
14:89020839-89021547,PTPN21,alpha 2
14:89258030-89259667,EML5,alpha 2
14:89306780-89307555,TTC8,alpha 2
14:89883302-89884614,FOXN3,alpha 2
14:91710752-91711630,GPR68,alpha 1
14:91975514-91977346,SMEK1,alpha 2
14:93388377-93390116,CHGA,alpha 1
14:93650660-93651861,MOAP1,alpha 2
14:93650660-93651861,TMEM251,alpha 2
14:93650660-93651861,RP11-371E8.4,alpha 2
14:93798634-93799852,BTBD7,alpha 2
14:93798634-93799852,UNC79,alpha 2
14:94546828-94548057,DDX24,alpha 2
14:94546828-94548057,IFI27L1,alpha 2
14:94596461-94596750,IFI27L2,alpha 2
14:94758856-94760138,SERPINA10,alpha 1
14:95623049-95624349,DICER1,alpha 2
14:96556721-96557396,C14orf132,alpha 1
14:96829160-96830666,GSKIP,alpha 2
14:96829160-96830666,ATG2B,alpha 2
14:96968063-96969630,PAPOLA,alpha 2
14:98444250-98445100,C14orf64,alpha 1
15:100881364-100882557,ADAMTS17,alpha 2
15:101791104-101792769,CHSY1,alpha 2
15:101834843-101835940,SNRPA1,alpha 2
15:102192045-102193146,TM2D3,alpha 2
15:22891929-22893294,CYFIP1,alpha 2
15:23034043-23035041,NIPA2,alpha 2
15:23085404-23087243,NIPA1,alpha 2
15:28344128-28344763,OCA2,alpha 2
15:29560972-29562286,NDNL2,alpha 2
15:29862051-29863683,FAM189A1,alpha 2
15:30113625-30115327,TJP1,alpha 2
15:31195633-31196468,FAN1,alpha 2
15:31283339-31284658,MTMR10,alpha 2
15:31618109-31619641,KLF13,alpha 2
15:32162070-32163480,OTUD7A,alpha 2
15:34447018-34447404,KATNBL1,alpha 2
15:34501682-34502602,KATNBL1,alpha 2
15:34629471-34630528,SLC12A6,alpha 2
15:34659241-34660158,LPCAT4,alpha 2
15:35837618-35838758,DPH6,alpha 2
15:37386790-37387531,MEIS2,alpha 2
15:37391154-37391666,MEIS2,alpha 2
15:38856029-38857539,RASGRP1,alpha 2
15:40211961-40213550,GPR176,alpha 2
15:40330617-40331786,SRP14,alpha 2
15:40400406-40400666,BMF,alpha 2
15:40400820-40401773,BMF,alpha 2
15:40544345-40545616,PAK6,alpha 2
15:40544345-40545616,C15orf56,alpha 2
15:40649984-40651175,DISP2,alpha 2
15:40732832-40733869,BAHD1,alpha 2
15:40856723-40857547,C15orf57,alpha 2
15:40861282-40861886,RPUSD2,alpha 2
15:40986630-40987707,RAD51,alpha 2
15:41046831-41047872,RMDN3,alpha 2
15:41135678-41137143,SPINT1,alpha 2
15:41186105-41186834,VPS18,alpha 2
15:41221057-41222306,DLL4,alpha 2
15:41244985-41246021,CHAC1,alpha 2
15:41407702-41409024,INO80,alpha 2
15:41522805-41523796,EXD1,alpha 2
15:41522805-41523796,CHP1,alpha 2
15:41708817-41709871,RTF1,alpha 2
15:41785266-41786791,ITPKA,alpha 2
15:41850989-41851633,TYRO3,alpha 2
15:41913225-41914427,MGA,alpha 2
15:41952257-41953258,MGA,alpha 2
15:42066177-42067077,MAPKBP1,alpha 2
15:42264271-42265254,EHD4,alpha 2
15:42719731-42720103,ZNF106,alpha 2
15:42840346-42841627,LRRC57,alpha 2
15:42840346-42841627,HAUS2,alpha 2
15:42867259-42868275,STARD9,alpha 2
15:43028948-43029662,CDAN1,alpha 2
15:43212042-43213414,TTBK2,alpha 2
15:43414868-43415686,TMEM62,alpha 2
15:43425481-43426806,TMEM62,alpha 2
15:43621834-43623060,LCMT2,alpha 2
15:43621834-43623060,ADAL,alpha 2
15:43662626-43663993,ZSCAN29,alpha 2
15:43662626-43663993,TUBGCP4,alpha 2
15:43785003-43785843,TP53BP1,alpha 2
15:44038153-44039510,PDIA3,alpha 2
15:44092510-44093323,SERINC4,alpha 2
15:44092510-44093323,SERF2,alpha 2
15:44092510-44093323,HYPK,alpha 2
15:44486552-44487960,FRMD5,alpha 2
15:44579928-44581575,CASC4,alpha 2
15:44719047-44720220,CTDSPL2,alpha 2
15:44828580-44829885,EIF3J,alpha 2
15:45003274-45004415,B2M,alpha 2
15:45492184-45493523,SHF,alpha 2
15:45670187-45671191,GATM,alpha 2
15:45694270-45695996,GATM,alpha 2
15:45694270-45695996,SPATA5L1,alpha 2
15:45814076-45815550,SLC30A4,alpha 2
15:48009198-48009805,SEMA6D,alpha 2
15:48936887-48938695,FBN1,alpha 1
15:49447214-49448306,COPS2,alpha 2
15:49447214-49448306,GALK2,alpha 2
15:50978221-50979490,TRPM7,alpha 2
15:51199999-51201469,AP4E1,alpha 2
15:52028863-52030508,LYSMD2,alpha 2
15:52121654-52122633,TMOD3,alpha 2
15:52263401-52264375,LEO1,alpha 2
15:52311155-52312291,MAPK6,alpha 2
15:52483403-52483842,GNB5,alpha 1
15:52820272-52822013,MYO5A,alpha 2
15:52860169-52861569,ARPP19,alpha 2
15:52970325-52972023,FAM214A,alpha 2
15:56285236-56286475,NEDD4,alpha 2
15:57210205-57212180,ZNF280D,alpha 2
15:57210205-57212180,TCF12,alpha 2
15:57998553-57999602,POLR2M,alpha 2
15:59041012-59042405,ADAM10,alpha 2
15:59062796-59064348,FAM63B,alpha 2
15:59225170-59226452,SLTM,alpha 2
15:59279220-59280797,RNF111,alpha 2
15:59908483-59909028,GCNT3,alpha 1
15:60666702-60667316,ANXA2,alpha 2
15:60689230-60691023,ANXA2,alpha 2
15:60883147-60885398,RORA,alpha 2
15:62352036-62353152,VPS13C,alpha 2
15:63449003-63450423,RPS27L,alpha 2
15:63795977-63797543,USP3,alpha 2
15:64125224-64126729,HERC1,alpha 2
15:64337914-64339200,DAPK2,alpha 2
15:64363502-64363984,DAPK2,alpha 2
15:64364687-64365345,DAPK2,alpha 2
15:64385800-64386637,FAM96A,alpha 2
15:64385800-64386637,SNX1,alpha 2
15:64387935-64388578,SNX1,alpha 2
15:64752414-64754305,ZNF609,alpha 2
15:64995067-64996079,OAZ2,alpha 2
15:65321242-65322154,MTFMT,alpha 2
15:65337515-65337916,SLC51B,alpha 1
15:65425121-65426417,PDCD7,alpha 2
15:65578452-65579613,PARP16,alpha 2
15:66083851-66085100,DENND4A,alpha 2
15:66161343-66162332,RAB11A,alpha 2
15:66678854-66680334,TIPIN,alpha 2
15:66678854-66680334,MAP2K1,alpha 2
15:67357380-67358772,SMAD3,alpha 2
15:67546540-67547490,AAGAB,alpha 2
15:67546540-67547490,IQCH,alpha 2
15:67813080-67814142,C15orf61,alpha 2
15:68346367-68348043,PIAS1,alpha 2
15:68521495-68522960,CLN6,alpha 2
15:68521495-68522960,RP11-315D16.2,alpha 2
15:68569479-68571003,FEM1B,alpha 2
15:68923848-68924773,CORO2B,alpha 1
15:69706209-69706854,KIF23,alpha 2
15:69744651-69745914,RPLP1,alpha 2
15:70389124-70390490,TLE3,alpha 2
15:71184413-71185514,THAP10,alpha 2
15:71184413-71185514,LRRC49,alpha 2
15:72520562-72521071,PKM,alpha 2
15:72523146-72524370,PKM,alpha 2
15:72611887-72613013,CELF6,alpha 2
15:72765950-72767846,ARIH1,alpha 2
15:73343811-73345791,NEO1,alpha 2
15:73975985-73977841,CD276,alpha 2
15:74725784-74726726,SEMA7A,alpha 2
15:75229833-75230946,COX5A,alpha 2
15:75248452-75249937,RPP25,alpha 2
15:75487751-75488674,C15orf39,alpha 1
15:75493928-75495302,C15orf39,alpha 2
15:75627827-75628877,COMMD4,alpha 2
15:75743013-75743646,SIN3A,alpha 2
15:75870741-75872177,PTPN9,alpha 2
15:76135042-76136928,UBE2Q2,alpha 2
15:76195873-76197035,FBXO22,alpha 2
15:76351268-76352644,NRG4,alpha 2
15:76351268-76352644,C15orf27,alpha 2
15:77196826-77198419,SCAPER,alpha 2
15:77362742-77363839,TSPAN3,alpha 2
15:78441366-78442423,IDH3A,alpha 2
15:78556702-78558928,DNAJA4,alpha 2
15:79164515-79166254,MORF4L1,alpha 2
15:80351500-80352678,ZFAND6,alpha 2
15:80696025-80697572,RP11-210M15.2,alpha 2
15:80696025-80697572,ARNT2,alpha 2
15:80986753-80988419,ABHD17C,alpha 2
15:83315964-83316937,CPEB1,alpha 2
15:83478068-83479324,WHAMM,alpha 2
15:83654448-83655399,FAM103A1,alpha 2
15:83679637-83680860,C15orf40,alpha 2
15:83735358-83736359,BTBD1,alpha 2
15:83875385-83877200,HDGFRP3,alpha 2
15:84115657-84117083,SH3GL3,alpha 2
15:85143170-85144631,ZSCAN2,alpha 2
15:85197142-85197729,WDR73,alpha 2
15:85201281-85202029,NMB,alpha 2
15:85290776-85292283,ZNF592,alpha 2
15:85523505-85525576,PDE8A,alpha 2
15:85923085-85924584,AKAP13,alpha 2
15:89644551-89645492,ABHD2,alpha 2
15:89877558-89879204,POLG,alpha 2
15:90118289-90118958,TICRR,alpha 2
15:90447030-90447512,C15orf38,alpha 1
15:90744026-90745099,SEMA4B,alpha 2
15:90776474-90777647,GDPGP1,alpha 2
15:90776474-90777647,CIB1,alpha 2
15:90931078-90932062,IQGAP1,alpha 2
15:91072565-91074316,CRTC3,alpha 2
15:91445453-91446750,MAN2A2,alpha 2
15:96873438-96874709,NR2F2,alpha 2
15:99190215-99192591,IGF1R,alpha 2
15:99433171-99433870,IGF1R,alpha 2
15:99644944-99646570,SYNM,alpha 2
16:1031481-1032048,AC009041.2,alpha 2
16:1031481-1032048,LMF1,alpha 2
16:1031481-1032048,SOX8,alpha 2
16:103193-104204,SNRNP25,alpha 2
16:103193-104204,POLR3K,alpha 2
16:11035783-11036570,DEXI,alpha 2
16:11836065-11837124,TXNDC11,alpha 2
16:1202436-1203240,CACNA1H,alpha 2
16:1358459-1359923,UBE2I,alpha 2
16:1383214-1383774,BAIAP3,alpha 2
16:1385266-1386250,BAIAP3,alpha 1
16:1401444-1402303,TSR3,alpha 2
16:1401444-1402303,GNPTG,alpha 2
16:1428930-1429860,UNKL,alpha 2
16:1470265-1471339,C16orf91,alpha 2
16:15068497-15069310,PDXDC1,alpha 2
16:15149597-15150385,NTAN1,alpha 2
