rank,motif,id,x,y,test,mean_x,mean_y,enrichedIn,pval,FDR,padj,lfdr,family.id,family.name,class.id,class.name,superclass.id,superclass.name
239,MTF1,MA0863.1,beta,delta,beta_vs_delta,-0.0149010602682366,-0.142207268403898,beta,0.000961611480988376,0.00172375556499155,0.55677304749227,-2.76352431873272,2.3.3,More than 3 adjacent zinc fingers,2.3,C2H2 zinc finger factors,2,Zinc-coordinating DNA-binding domains
240,Hes1,MA1099.1,alpha,gamma,alpha_vs_gamma,0.0884797953768919,-0.111499268968947,alpha,0.000792832741882721,0.00177239443069535,0.459050157550095,-2.75143962329969,1.2.4,Hairy-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
241,SP3,MA0746.1,alpha,gamma,alpha_vs_gamma,0.0614629034152098,-0.111557654521137,alpha,0.000820293490926034,0.00182673050479298,0.474949931246174,-2.73832551882934,2.3.1,Three-zinc finger Krüppel-related,2.3,C2H2 zinc finger factors,2,Zinc-coordinating DNA-binding domains
242,Atf3,MA0605.1,alpha,gamma,alpha_vs_gamma,0.10911335125125,-0.0941422837252694,alpha,0.00113220619270459,0.00248313403627257,0.655547385575959,-2.60499983717421,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
243,MNT,MA0825.1,beta,delta,beta_vs_delta,-0.115115246472239,-0.236213188191819,beta,0.00140836988873872,0.00249371916079425,0.81544616557972,-2.603152457748,1.2.6,bHLH-ZIP,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
244,RELB,MA1117.1,alpha,gamma,alpha_vs_gamma,0.105828756117819,-0.101976019304277,alpha,0.00118315481055357,0.00257536329064104,0.685046635310517,-2.58916149905307,6.1.1,NFkappaB-related,6.1,Rel homology region (RHR) factors,6,Immunoglobulin fold
245,Znf423,MA0116.1,beta,delta,beta_vs_delta,0.00109991443458108,-0.117603467435169,beta,0.00178532107575996,0.00313242697837885,1,-2.50411904427851,2.3.4,Factors with multiple dispersed zinc fingers,2.3,C2H2 zinc finger factors,2,Zinc-coordinating DNA-binding domains
246,PAX1,MA0779.1,alpha,gamma,alpha_vs_gamma,0.103272384571711,-0.090553532277709,alpha,0.00161671099674678,0.00337257521699032,0.936075667116386,-2.47203835567842,3.2.2,PD,3.2,Paired box factors,3,Helix-turn-helix domains
247,HES7,MA0822.1,alpha,gamma,alpha_vs_gamma,0.0432157019079917,-0.141347309932786,alpha,0.00166803970442293,0.00346163078444758,0.965794988860876,-2.46071925559063,1.2.4,Hairy-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
248,USF1,MA0093.2,beta,delta,beta_vs_delta,0.0337378143133124,-0.108187646974199,beta,0.00222693745698178,0.00384894563460433,1,-2.41465822316316,1.2.6,bHLH-ZIP,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
249,REL,MA0101.1,alpha,gamma,alpha_vs_gamma,0.223701311667568,-0.000585961155689048,alpha,0.00187731005735419,0.0038820090114574,1,-2.41094346080194,6.1.1,NFkappaB-related,6.1,Rel homology region (RHR) factors,6,Immunoglobulin fold
250,PLAG1,MA0163.1,beta,delta,beta_vs_delta,-0.0200419775014602,-0.11737669145824,beta,0.00233514797877236,0.00402396035627738,1,-2.39534630656415,2.3.3,More than 3 adjacent zinc fingers,2.3,C2H2 zinc finger factors,2,Zinc-coordinating DNA-binding domains
251,CLOCK,MA0819.1,alpha,gamma,alpha_vs_gamma,0.0421684720850464,-0.146457138155564,alpha,0.00205390611974372,0.0042320699050947,1,-2.37344716726159,1.2.5,PAS,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
252,NR4A1,MA1112.1,beta,delta,beta_vs_delta,-0.200348104152337,-0.324266598681604,beta,0.00251092221964643,0.00431401770081686,1,-2.36511807727907,2.1.4,NGFI(NR4A),2.1,Nuclear receptors with C4 zinc fingers,2,Zinc-coordinating DNA-binding domains
253,TEAD1,MA0090.2,alpha,gamma,alpha_vs_gamma,0.190103334867543,-0.00321547912323829,alpha,0.00213254472805546,0.00437852268632664,1,-2.35867239575168,3.6.1,TEF1-related,3.6,TEA domain factors,3,Helix-turn-helix domains
254,HIF1A,MA1106.1,alpha,gamma,alpha_vs_gamma,0.246294836521298,0.0470768783409901,alpha,0.00233433193798443,0.0047423796213789,1,-2.32400368425256,1.2.5,PAS,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
255,BATF3,MA0835.1,alpha,gamma,alpha_vs_gamma,-0.0667037174267832,-0.27254817668468,alpha,0.00243110655833844,0.0049217157247481,1,-2.3078834744891,1.1.4,B-ATF-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
256,Creb3l2,MA0608.1,alpha,gamma,alpha_vs_gamma,0.0384459644164012,-0.139202323367665,alpha,0.00245305331407754,0.00494884274860939,1,-2.30549634584458,1.1.7,CREB-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
257,TCF3,MA0522.2,alpha,gamma,alpha_vs_gamma,0.207136048904122,0.0346788206467586,alpha,0.00250387305441234,0.00503382811980814,1,-2.29810161753086,1.2.1,E2A,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
258,POU2F2,MA0507.1,alpha,gamma,alpha_vs_gamma,0.396436356812065,0.223297357416211,alpha,0.00265028262072403,0.00527324274020349,1,-2.2779222365759,3.1.10,POU,3.1,Homeo domain factors,3,Helix-turn-helix domains
259,GSC2,MA0891.1,beta,delta,beta_vs_delta,0.0459733045784835,-0.0565092325993577,beta,0.00310648715829448,0.00529016489603677,1,-2.27653079066373,3.1.3,Paired-related HD,3.1,Homeo domain factors,3,Helix-turn-helix domains
260,Sox5,MA0087.1,beta,delta,beta_vs_delta,0.101672735602784,-0.0039437806529458,beta,0.00316957408004143,0.00538176947901463,1,-2.26907490860422,4.1.1,SOX-related,4.1,High-mobility group (HMG) domain factors,4,Other all-alpha-helical DNA-binding domains
261,Pax6,MA0069.1,alpha,gamma,alpha_vs_gamma,0.185552223721085,0.00535024229020148,alpha,0.00272215233733214,0.00539769247710723,1,-2.26779186214702,3.2.1,PD+HD,3.2,Paired box factors,3,Helix-turn-helix domains
262,ZNF143,MA0088.2,alpha,gamma,alpha_vs_gamma,0.0449851451693662,-0.121063792283848,alpha,0.00274806234580616,0.00541200033408764,1,-2.26664218526503,2.3.3,More than 3 adjacent zinc fingers,2.3,C2H2 zinc finger factors,2,Zinc-coordinating DNA-binding domains
263,HEY1,MA0823.1,beta,delta,beta_vs_delta,-0.118839555718829,-0.229631223887698,beta,0.00350467106013071,0.00588175230091502,1,-2.23049326895015,1.2.4,Hairy-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
264,SREBF2,MA0596.1,alpha,gamma,alpha_vs_gamma,-0.0276106874391831,-0.206867153143061,alpha,0.00311487091706741,0.00611359410502384,1,-2.21370339841987,1.2.6,bHLH-ZIP,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
265,TEAD4,MA0809.1,alpha,gamma,alpha_vs_gamma,0.201645263823016,0.0153308173903175,alpha,0.00314706239965443,0.00615590922094565,1,-2.21070779318316,3.6.1,TEF1-related,3.6,TEA domain factors,3,Helix-turn-helix domains
266,TP53,MA0106.3,beta,delta,beta_vs_delta,-0.00994385755201251,-0.118025265650283,beta,0.00380605358736181,0.00636908967364881,1,-2.19592263641867,6.3.1,p53-related,6.3,p53 domain factors,6,Immunoglobulin fold
267,RORB,MA1150.1,alpha,gamma,alpha_vs_gamma,-0.256364442505336,-0.430165263172946,alpha,0.00346000553948879,0.00674526332445794,1,-2.17100109148848,2.1.2,Thyroid hormone receptor-related factors,2.1,Nuclear receptors with C4 zinc fingers,2,Zinc-coordinating DNA-binding domains
268,CREB1,MA0018.3,alpha,gamma,alpha_vs_gamma,-0.1628916165733,-0.35488131066566,alpha,0.00362164836097199,0.00701315853178188,1,-2.15408634380478,1.1.7,CREB-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
269,EBF1,MA0154.3,beta,delta,beta_vs_delta,-0.018683162279587,-0.122518311492124,beta,0.00433008636082858,0.00718372493673279,1,-2.14365030506376,6.1.5,EBF-related,6.1,Rel homology region (RHR) factors,6,Immunoglobulin fold
270,Foxq1,MA0040.1,alpha,gamma,alpha_vs_gamma,0.0110913071942936,-0.153496704109195,alpha,0.00390976634325254,0.00749587653226232,1,-2.12517757550859,3.3.1,FOX,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
271,MGA,MA0801.1,alpha,gamma,alpha_vs_gamma,0.0527961701663912,-0.119343249670531,alpha,0.00403378479677546,0.00765757835191145,1,-2.11590855082192,1.2.6,bHLH-ZIP,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
272,TBX15,MA0803.1,alpha,gamma,alpha_vs_gamma,0.0527961701663912,-0.119343249670531,alpha,0.00403378479677546,0.00765757835191145,1,-2.11590855082192,6.5.3,TBX1-related,6.5,T-Box factors,6,Immunoglobulin fold
273,TFAP2A,MA0003.3,beta,delta,beta_vs_delta,-0.00780666396154077,-0.101497812862724,beta,0.0046994863948597,0.00777273913880581,1,-2.10942590742358,1.3.1,AP2,1.3,Basic helix-span-helix factors (bHSH),1,Basic domains
274,TEF,MA0843.1,beta,delta,beta_vs_delta,0.152467665999403,0.0335984268683163,beta,0.00478349566611853,0.00784601697077232,1,-2.10535075683549,1.1.8,CEBP-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
275,TEAD2,MA1121.1,alpha,gamma,alpha_vs_gamma,0.164150212679006,-0.0148784241277074,alpha,0.0045706057897333,0.00864830311194634,1,-2.0630690973227,3.6.1,TEF1-related,3.6,TEA domain factors,3,Helix-turn-helix domains
276,POU1F1,MA0784.1,alpha,gamma,alpha_vs_gamma,0.166220597223935,0.00402972181164423,alpha,0.00459394574942313,0.00866415175542668,1,-2.06227394950748,3.1.10,POU,3.1,Homeo domain factors,3,Helix-turn-helix domains
277,GATA5,MA0766.1,alpha,gamma,alpha_vs_gamma,1.22681345505792,1.01861296691114,alpha,0.00497833081930199,0.0092982372399221,1,-2.03159937720277,2.2.1,C4-GATA-related,2.2,Other C4 zinc finger-type factors,2,Zinc-coordinating DNA-binding domains
278,PAX5,MA0014.3,alpha,gamma,alpha_vs_gamma,-0.0185822613903433,-0.171198084345197,alpha,0.00514687229202375,0.0095821191546037,1,-2.01853843294926,3.2.2,PD,3.2,Paired box factors,3,Helix-turn-helix domains
279,RXRA::VDR,MA0074.1,beta,delta,beta_vs_delta,0.044121266724338,-0.0541794241330784,beta,0.00604805985650057,0.00962040290360942,1,-2.01680673927714,2.1.3,RXR-related receptors,2.1,Nuclear receptors with C4 zinc fingers,2,Zinc-coordinating DNA-binding domains
279,RXRA::VDR,MA0074.1,beta,delta,beta_vs_delta,0.044121266724338,-0.0541794241330784,beta,0.00604805985650057,0.00962040290360942,1,-2.01680673927714,2.1.2,Thyroid hormone receptor-related factors,2.1,Nuclear receptors with C4 zinc fingers,2,Zinc-coordinating DNA-binding domains
280,VDR,MA0693.2,alpha,gamma,alpha_vs_gamma,0.0292663896961439,-0.139451219825963,alpha,0.0052561310400623,0.00975416625703869,1,-2.01080984625326,2.1.2,Thyroid hormone receptor-related factors,2.1,Nuclear receptors with C4 zinc fingers,2,Zinc-coordinating DNA-binding domains
281,HES7,MA0822.1,beta,delta,beta_vs_delta,-0.0522211513019762,-0.150198232827711,beta,0.00680064191994373,0.0107822542225291,1,-1.96729043265022,1.2.4,Hairy-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
282,SIX2,MA1119.1,beta,delta,beta_vs_delta,0.13046731826085,0.0242538592128645,beta,0.00708221111447745,0.0111732976438214,1,-1.95181863197349,3.1.6,HD-SINE,3.1,Homeo domain factors,3,Helix-turn-helix domains
283,POU3F2,MA0787.1,alpha,gamma,alpha_vs_gamma,0.18706533568344,0.0259622638448397,alpha,0.00621486750177632,0.0114235183604079,1,-1.94220011595189,3.1.10,POU,3.1,Homeo domain factors,3,Helix-turn-helix domains
284,NHLH1,MA0048.2,beta,delta,beta_vs_delta,0.17485255643558,0.0652714530060983,beta,0.00766364275656071,0.0120344138434215,1,-1.91957505792464,1.2.3,Tal-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
285,SNAI2,MA0745.1,alpha,gamma,alpha_vs_gamma,0.228200971091535,0.0543191542057077,alpha,0.00667270870809856,0.0121493658553115,1,-1.91544638977977,2.3.3,More than 3 adjacent zinc fingers,2.3,C2H2 zinc finger factors,2,Zinc-coordinating DNA-binding domains
286,PAX1,MA0779.1,beta,delta,beta_vs_delta,-0.0618200326654244,-0.159089997917874,beta,0.0078806126699984,0.0123320938808894,1,-1.90896317776672,3.2.2,PD,3.2,Paired box factors,3,Helix-turn-helix domains
287,GLIS1,MA0735.1,beta,delta,beta_vs_delta,0.0236668193095184,-0.0701669733139639,beta,0.00838075624075533,0.0130794012490494,1,-1.8834121367599,2.3.3,More than 3 adjacent zinc fingers,2.3,C2H2 zinc finger factors,2,Zinc-coordinating DNA-binding domains
288,SREBF2(var.2),MA0828.1,beta,delta,beta_vs_delta,-0.0722105746448207,-0.180249955714205,beta,0.00880903416181885,0.0137108354292826,1,-1.86293608195203,1.2.6,bHLH-ZIP,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
289,Tcf21,MA0832.1,alpha,gamma,alpha_vs_gamma,-0.0127357380459608,-0.180374642372566,alpha,0.00783976756870048,0.0141408891659738,1,-1.84952328164697,1.2.3,Tal-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
290,CEBPA,MA0102.3,beta,delta,beta_vs_delta,-0.00766872110181966,-0.116307849439431,beta,0.00916484242137623,0.0142263907827797,1,-1.84690526589868,1.1.8,CEBP-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
291,Gfi1b,MA0483.1,alpha,gamma,alpha_vs_gamma,0.0266522143988332,-0.126737410371886,alpha,0.00859562287163365,0.0152664590266131,1,-1.81626168354174,2.3.3,More than 3 adjacent zinc fingers,2.3,C2H2 zinc finger factors,2,Zinc-coordinating DNA-binding domains
292,PKNOX2,MA0783.1,alpha,gamma,alpha_vs_gamma,-0.0283832049320189,-0.179091224381282,alpha,0.00857217609293243,0.0152664590266131,1,-1.81626168354174,3.1.4,TALE-type HD,3.1,Homeo domain factors,3,Helix-turn-helix domains
293,FOXD1,MA0031.1,alpha,gamma,alpha_vs_gamma,-0.00124195983126249,-0.157755376101984,alpha,0.00875316633648128,0.0154426421248143,1,-1.81127839298599,3.3.1,FOX,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
294,CREB3,MA0638.1,alpha,gamma,alpha_vs_gamma,0.0119807563384351,-0.145404208141307,alpha,0.00877483464432455,0.0154426421248143,1,-1.81127839298599,1.1.7,CREB-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
295,FOXO3,MA0157.2,alpha,gamma,alpha_vs_gamma,-0.00124195983126249,-0.157755376101984,alpha,0.00875316633648128,0.0154426421248143,1,-1.81127839298599,3.3.1,FOX,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
296,NFIL3,MA0025.1,beta,delta,beta_vs_delta,0.20546254933072,0.100913605059677,beta,0.0101512947832506,0.0155904500782548,1,-1.80714134705099,1.1.8,CEBP-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
297,RELA,MA0107.1,alpha,gamma,alpha_vs_gamma,0.246858373312616,0.0527862377070526,alpha,0.00923399763481794,0.0161525215424761,1,-1.79175967107267,6.1.1,NFkappaB-related,6.1,Rel homology region (RHR) factors,6,Immunoglobulin fold
298,Id2,MA0617.1,beta,delta,beta_vs_delta,-0.115831642209502,-0.210225146235647,beta,0.0106872136778698,0.0163700971414989,1,-1.78594874344134,1.2.8,HLH only,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
299,Zfx,MA0146.2,alpha,gamma,alpha_vs_gamma,-0.0984159432513401,-0.21848512422247,alpha,0.00939211184253151,0.0163796167374269,1,-1.78569626440514,2.3.3,More than 3 adjacent zinc fingers,2.3,C2H2 zinc finger factors,2,Zinc-coordinating DNA-binding domains
300,HIC2,MA0738.1,alpha,gamma,alpha_vs_gamma,0.0940698563029454,-0.0444729868044913,alpha,0.0101266316246361,0.0175548494331267,1,-1.75560289109995,2.3.4,Factors with multiple dispersed zinc fingers,2.3,C2H2 zinc finger factors,2,Zinc-coordinating DNA-binding domains
301,ZNF410,MA0752.1,beta,delta,beta_vs_delta,0.016025777656761,-0.0743767260230259,beta,0.0118855248451125,0.0181097865403161,1,-1.74208666867596,2.3.3,More than 3 adjacent zinc fingers,2.3,C2H2 zinc finger factors,2,Zinc-coordinating DNA-binding domains
302,ESRRB,MA0141.3,alpha,gamma,alpha_vs_gamma,-0.156327612300848,-0.298628809639002,alpha,0.0105918221393469,0.0182519792222674,1,-1.73869003429231,2.1.1,Steroid hormone receptors,2.1,Nuclear receptors with C4 zinc fingers,2,Zinc-coordinating DNA-binding domains
303,Sox1,MA0870.1,alpha,gamma,alpha_vs_gamma,0.0515297948345207,-0.107341965218183,alpha,0.0110585831735702,0.018999761594947,1,-1.72125184844973,4.1.1,SOX-related,4.1,High-mobility group (HMG) domain factors,4,Other all-alpha-helical DNA-binding domains
304,ZBTB7B,MA0694.1,alpha,gamma,alpha_vs_gamma,0.117954161823324,-0.0262711374184945,alpha,0.0113054389112434,0.0193092894678758,1,-1.71423370684506,2.3.3,More than 3 adjacent zinc fingers,2.3,C2H2 zinc finger factors,2,Zinc-coordinating DNA-binding domains
305,TBX1,MA0805.1,alpha,gamma,alpha_vs_gamma,0.0659983744073012,-0.0857362733523637,alpha,0.0115701802768579,0.0197033364126492,1,-1.7054602274975,6.5.3,TBX1-related,6.5,T-Box factors,6,Immunoglobulin fold
306,Esrra,MA0592.2,alpha,gamma,alpha_vs_gamma,-0.0929319127524098,-0.235018617898568,alpha,0.0117668081464731,0.0199794191108737,1,-1.69941714276717,2.1.1,Steroid hormone receptors,2.1,Nuclear receptors with C4 zinc fingers,2,Zinc-coordinating DNA-binding domains
307,ESR2,MA0258.2,beta,delta,beta_vs_delta,0.184431614145371,0.0927040796503246,beta,0.0132471213133794,0.0200787519383421,1,-1.69726328570712,2.1.1,Steroid hormone receptors,2.1,Nuclear receptors with C4 zinc fingers,2,Zinc-coordinating DNA-binding domains
308,Arid5a,MA0602.1,alpha,gamma,alpha_vs_gamma,0.111636937924669,-0.0309745843690802,alpha,0.0124462590828332,0.0210712982718142,1,-1.67630870525973,3.7.1,ARID-related,3.7,ARID,3,Helix-turn-helix domains
309,TFAP2B(var.3),MA0813.1,beta,delta,beta_vs_delta,0.0240455705177426,-0.0583037954970951,beta,0.0143477880349133,0.0216337741463927,1,-1.66486770857898,1.3.1,AP2,1.3,Basic helix-span-helix factors (bHSH),1,Basic domains
310,ONECUT2,MA0756.1,alpha,gamma,alpha_vs_gamma,0.0445443199173276,-0.0929407694333105,alpha,0.0131663992515956,0.0222254961127518,1,-1.65314853602138,3.1.9,HD-CUT,3.1,Homeo domain factors,3,Helix-turn-helix domains
311,ARNT::HIF1A,MA0259.1,alpha,gamma,alpha_vs_gamma,0.241105396516713,0.0895014778235507,alpha,0.013664433586527,0.022932484193041,1,-1.63954889717183,1.2.5,PAS,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
312,MTF1,MA0863.1,alpha,gamma,alpha_vs_gamma,0.0448306975539154,-0.115407694873651,alpha,0.0136329020406509,0.022932484193041,1,-1.63954889717183,2.3.3,More than 3 adjacent zinc fingers,2.3,C2H2 zinc finger factors,2,Zinc-coordinating DNA-binding domains
313,USF2,MA0526.2,beta,delta,beta_vs_delta,-0.0351964440026875,-0.13357932715841,beta,0.015622823891018,0.0231938846997422,1,-1.63462650611108,1.2.6,bHLH-ZIP,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
314,RARA,MA0729.1,beta,delta,beta_vs_delta,-0.0486910933796532,-0.137907722925132,beta,0.0156716614768821,0.0232068848979917,1,-1.63438315176329,2.1.2,Thyroid hormone receptor-related factors,2.1,Nuclear receptors with C4 zinc fingers,2,Zinc-coordinating DNA-binding domains
315,Creb3l2,MA0608.1,beta,delta,beta_vs_delta,-0.113911362044382,-0.202997232176622,beta,0.0158928841447448,0.0234744385709368,1,-1.6294047857907,1.1.7,CREB-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
316,TFAP2C,MA0524.2,beta,delta,beta_vs_delta,0.0694953484602644,-0.0101353854918222,beta,0.0159641761806732,0.0235197404799231,1,-1.62856747463498,1.3.1,AP2,1.3,Basic helix-span-helix factors (bHSH),1,Basic domains
317,MEIS1,MA0498.2,beta,delta,beta_vs_delta,-0.131361984446806,-0.219698860022183,beta,0.0165799778990226,0.0243649929023708,1,-1.61323371079455,3.1.4,TALE-type HD,3.1,Homeo domain factors,3,Helix-turn-helix domains
318,HSF1,MA0486.2,alpha,gamma,alpha_vs_gamma,-0.0388841255954097,-0.171720212681657,alpha,0.0151021219974087,0.0252720480823689,1,-1.59735956081739,3.4.1,HSF,3.4,Heat shock factors,3,Helix-turn-helix domains
319,ZBED1,MA0749.1,beta,delta,beta_vs_delta,-0.0522302664423197,-0.136342377765244,beta,0.0172651884429457,0.0253077066037103,1,-1.59674720902908,2.3.5,BED zinc finger factors,2.3,C2H2 zinc finger factors,2,Zinc-coordinating DNA-binding domains
320,Crem,MA0609.1,alpha,gamma,alpha_vs_gamma,0.0579583283542803,-0.076317168850478,alpha,0.0158600433381908,0.0263122208963107,1,-1.57984249352182,1.1.7,CREB-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
321,Nr1h3::Rxra,MA0494.1,alpha,gamma,alpha_vs_gamma,0.00623628494756633,-0.139998461236406,alpha,0.0161914530314605,0.0267852894434732,1,-1.57210365625308,2.1.3,RXR-related receptors,2.1,Nuclear receptors with C4 zinc fingers,2,Zinc-coordinating DNA-binding domains
321,Nr1h3::Rxra,MA0494.1,alpha,gamma,alpha_vs_gamma,0.00623628494756633,-0.139998461236406,alpha,0.0161914530314605,0.0267852894434732,1,-1.57210365625308,2.1.2,Thyroid hormone receptor-related factors,2.1,Nuclear receptors with C4 zinc fingers,2,Zinc-coordinating DNA-binding domains
322,TFAP2C(var.3),MA0815.1,beta,delta,beta_vs_delta,0.00987766414937817,-0.067304115987924,beta,0.0226167712632894,0.0326561360634528,1,-1.48603520311417,1.3.1,AP2,1.3,Basic helix-span-helix factors (bHSH),1,Basic domains
323,REST,MA0138.2,alpha,gamma,alpha_vs_gamma,0.00546299878656964,-0.124286378047033,alpha,0.0202685404111775,0.032952693915013,1,-1.48210907561925,2.3.4,Factors with multiple dispersed zinc fingers,2.3,C2H2 zinc finger factors,2,Zinc-coordinating DNA-binding domains
324,SOX13,MA1120.1,alpha,gamma,alpha_vs_gamma,-0.0452594149946525,-0.179786607127875,alpha,0.0209043634393582,0.033714836856235,1,-1.47217893750323,4.1.1,SOX-related,4.1,High-mobility group (HMG) domain factors,4,Other all-alpha-helical DNA-binding domains
325,DBP,MA0639.1,beta,delta,beta_vs_delta,0.196000621582784,0.105005043729533,beta,0.0237678005700111,0.034063258737714,1,-1.46771380663448,1.1.8,CEBP-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
326,TP53,MA0106.3,alpha,gamma,alpha_vs_gamma,0.0525783379161544,-0.0832005924477783,alpha,0.0212240863641106,0.0341354055689446,1,-1.46679493285014,6.3.1,p53-related,6.3,p53 domain factors,6,Immunoglobulin fold
327,E2F3,MA0469.2,beta,delta,beta_vs_delta,0.0171601818674881,-0.0609624660999495,beta,0.0247174644050351,0.0353368194827539,1,-1.45177254207457,3.3.2,E2F,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
328,HES5,MA0821.1,alpha,gamma,alpha_vs_gamma,0.0177773061015432,-0.115122231417805,alpha,0.0232821433984764,0.0372385663749112,1,-1.42900704700997,1.2.4,Hairy-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
329,TFEB,MA0692.1,beta,delta,beta_vs_delta,-0.0779147088869738,-0.166598123584156,beta,0.0268246213537077,0.0380693140612907,1,-1.41942494829938,1.2.6,bHLH-ZIP,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
330,PAX9,MA0781.1,beta,delta,beta_vs_delta,-0.116374184624955,-0.195047754664969,beta,0.0268260451416349,0.0380693140612907,1,-1.41942494829938,3.2.2,PD,3.2,Paired box factors,3,Helix-turn-helix domains
331,MYBL2,MA0777.1,alpha,gamma,alpha_vs_gamma,0.108255300389101,-0.0165259716022214,alpha,0.0239420240218402,0.0381885176546707,1,-1.41806719909961,3.5.1,Myb-SANT,3.5,Tryptophan cluster factors,3,Helix-turn-helix domains
332,NKX2-3,MA0672.1,beta,delta,beta_vs_delta,0.0431998395447368,-0.0360648753469314,beta,0.0281836518271612,0.0398008156290886,1,-1.40010802793679,3.1.2,NK,3.1,Homeo domain factors,3,Helix-turn-helix domains
333,ONECUT1,MA0679.1,beta,delta,beta_vs_delta,0.0371453844940096,-0.0411595754092846,beta,0.0303183643973216,0.0427112724721392,1,-1.36945748969712,3.1.9,HD-CUT,3.1,Homeo domain factors,3,Helix-turn-helix domains
334,HOXA10,MA0899.1,beta,delta,beta_vs_delta,0.0999729088497721,0.0302248197207529,beta,0.0308511179188775,0.0433563040656069,1,-1.36294774658787,3.1.1,HOX,3.1,Homeo domain factors,3,Helix-turn-helix domains
335,Ahr::Arnt,MA0006.1,beta,delta,beta_vs_delta,-0.0769306089425128,-0.145090003209078,beta,0.0327740937582002,0.0458362325748742,1,-1.33879108561271,1.2.5,PAS,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
336,TFAP2A(var.3),MA0872.1,beta,delta,beta_vs_delta,0.0336898655152269,-0.0360357966854308,beta,0.0362328744257189,0.0503089551378687,1,-1.29835470240333,1.3.1,AP2,1.3,Basic helix-span-helix factors (bHSH),1,Basic domains
337,HES5,MA0821.1,beta,delta,beta_vs_delta,-0.0375988244073926,-0.109315906007851,beta,0.0364638504460297,0.0505085392541894,1,-1.29663519143654,1.2.4,Hairy-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
338,ESR1,MA0112.3,alpha,gamma,alpha_vs_gamma,-0.0396967089298077,-0.170926068909157,alpha,0.0321214134345791,0.0506765623395676,1,-1.29519285329122,2.1.1,Steroid hormone receptors,2.1,Nuclear receptors with C4 zinc fingers,2,Zinc-coordinating DNA-binding domains
339,TFAP2B(var.2),MA0812.1,beta,delta,beta_vs_delta,-0.0224909058966939,-0.0867223362235005,beta,0.036963595109635,0.0510112314950567,1,-1.29233419175892,1.3.1,AP2,1.3,Basic helix-span-helix factors (bHSH),1,Basic domains
340,Arnt,MA0004.1,beta,delta,beta_vs_delta,-0.197472878530837,-0.269088508428413,beta,0.0423630859449376,0.057308941032988,1,-1.24177761645551,1.2.5,PAS,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
341,TFAP2B,MA0811.1,beta,delta,beta_vs_delta,0.060606528181391,-0.00302424731612665,beta,0.0447738831853269,0.0602885543355913,1,-1.21976512999437,1.3.1,AP2,1.3,Basic helix-span-helix factors (bHSH),1,Basic domains
342,TGIF1,MA0796.1,alpha,gamma,alpha_vs_gamma,0.0121642914488241,-0.099428509854683,alpha,0.0390354429378755,0.0612507356667478,1,-1.21288869073338,3.1.4,TALE-type HD,3.1,Homeo domain factors,3,Helix-turn-helix domains
343,Smad4,MA1153.1,beta,delta,beta_vs_delta,0.186106603153878,0.115288754465152,beta,0.0457887703781871,0.0613696714096535,1,-1.21204620204369,7.1.1,SMAD,7.1,SMAD/NF-1 DNA-binding domain factors,7,beta-Hairpin exposed by an alpha/beta-scaffold
